,Accuracy_DO_BN,Time_DO_BN
0,0.9801999926567078,370.4396770000458
1,0.9768000245094299,370.4396770000458
2,0.9814000129699707,370.4396770000458
3,0.9805999994277954,370.4396770000458
4,0.9811999797821045,370.4396770000458
5,0.9797000288963318,370.4396770000458
6,0.9810000061988831,370.4396770000458
7,0.9814000129699707,370.4396770000458
8,0.9824000000953674,370.4396770000458
9,0.9812999963760376,370.4396770000458
10,0.9819999933242798,370.4396770000458
11,0.9805999994277954,370.4396770000458
12,0.9797000288963318,370.4396770000458
13,0.98089998960495,370.4396770000458
14,0.9818999767303467,370.4396770000458
15,0.9801999926567078,370.4396770000458
16,0.9811000227928162,370.4396770000458
17,0.9814000129699707,370.4396770000458
18,0.9824000000953674,370.4396770000458
19,0.9814000129699707,370.4396770000458
